timestamp,type,close,average20,average40,shares,amount
Wed Dec 29 2021 13:45,BUYZERO,3223.95,3220.255,3219.5449999999996,1,-3218.6000000000013
Wed Dec 29 2021 13:30,SELL,3211,3220.745,3218.4424999999997,0,-7.600000000001273
Wed Dec 29 2021 11:15,SELLZERO,3162,3203.1875000000005,3203.7212499999996,-1,3154.3999999999987
Tue Dec 28 2021 15:15,BUY,3176.05,3171.6800000000003,3195.45125,0,-21.650000000001455
Tue Dec 28 2021 10:45,SELLZERO,3170,3177.6325000000006,3177.92875,-1,3148.3499999999985
Fri Dec 24 2021 15:15,BUY,3152.05,3145.2625,3154.95125,0,-3.700000000001637
Fri Dec 24 2021 11:15,BUYZERO,3159.9,3151.145,3149.9537499999997,1,-3163.6000000000017
Fri Dec 24 2021 11:00,SELL,3148.7,3151.9775,3149.7962499999994,0,-14.90000000000191
Fri Dec 24 2021 09:45,BUYZERO,3160.8,3152.8149999999996,3148.8912499999997,1,-3175.700000000002
Thu Dec 23 2021 12:15,SELL,3162,3163.0024999999996,3157.4899999999993,0,-13.700000000002092
Thu Dec 23 2021 12:00,BUYZERO,3167.65,3164.29,3158.578749999999,1,-3181.350000000002
Thu Dec 23 2021 11:30,SELL,3164.25,3166.7400000000002,3159.687499999999,0,-17.100000000002183
Thu Dec 23 2021 11:00,BUYZERO,3175,3168.4575,3160.636249999999,1,-3192.100000000002
Thu Dec 23 2021 10:15,SELL,3167.05,3168.5975000000003,3161.3837499999995,0,-25.050000000002
Thu Dec 23 2021 10:00,BUYZERO,3172.1,3168.125,3161.7949999999996,1,-3197.150000000002
Thu Dec 23 2021 09:15,SELL,3163.95,3169.1699999999996,3163.7412499999996,0,-33.20000000000209
Wed Dec 22 2021 14:00,SELLZERO,3149.3,3161.875,3161.9312500000005,-1,3116.099999999998
Wed Dec 22 2021 10:45,BUY,3150.95,3148.1749999999997,3158.7400000000007,0,-34.85000000000173
Wed Dec 22 2021 10:15,SELLZERO,3146.55,3148.5325000000003,3158.0474999999997,-1,3111.6999999999985
Wed Dec 22 2021 10:00,BUY,3159,3149.9425000000006,3157.7725,0,-47.300000000001546
Wed Dec 22 2021 09:15,SELLZERO,3150.7,3151.5550000000003,3157.1612499999997,-1,3103.3999999999983
Tue Dec 21 2021 13:00,BUY,3144,3142.065,3147.7512499999993,0,-40.60000000000173
Tue Dec 21 2021 11:15,SELLZERO,3140.35,3142.025,3145.9837500000003,-1,3099.749999999998
Mon Dec 20 2021 10:45,BUY,3071,3069.5675,3104.9575,0,28.74999999999818
Fri Dec 17 2021 14:15,BUYZERO,3211.45,3109.8075,3107.6275,1,-3182.7000000000016
Fri Dec 17 2021 10:45,SELL,3205.95,3206.9625,3139.63375,0,23.24999999999818
Fri Dec 17 2021 10:30,BUYZERO,3212,3210.4125,3142.95625,1,-3188.750000000002
Wed Dec 15 2021 12:30,SELL,3296,3298.435,3271.8312499999997,0,107.24999999999818
Wed Dec 15 2021 12:15,BUYZERO,3310.65,3300.2349999999997,3274.0387499999997,1,-3203.400000000002
Wed Dec 15 2021 10:45,SELL,3308.5,3309.3825000000006,3284.554999999999,0,105.09999999999809
Tue Dec 14 2021 13:30,SELLZERO,3288.75,3297.9225000000006,3299.0787499999997,-1,3393.849999999998
Tue Dec 14 2021 09:45,BUY,3288.35,3281.315,3293.2450000000003,0,105.49999999999818
Mon Dec 13 2021 13:15,BUYZERO,3307.25,3292.0724999999993,3291.345,1,-3201.750000000002
Fri Dec 10 2021 12:30,SELL,3347,3354.2300000000005,3332.13,0,145.24999999999818
Fri Dec 10 2021 10:45,BUYZERO,3360.7,3351.5074999999997,3341.2950000000005,1,-3215.4500000000016
Fri Dec 10 2021 10:15,SELL,3344.15,3351.3874999999994,3343.4487500000005,0,128.69999999999845
Fri Dec 10 2021 09:45,BUYZERO,3353,3351.5325,3345.3100000000004,1,-3224.3000000000015
Thu Dec 09 2021 15:15,SELL,3341,3351.2899999999995,3348.9612500000003,0,116.69999999999845
Thu Dec 09 2021 14:45,SELLZERO,3334.05,3349.2899999999995,3349.9225000000006,-1,3450.7499999999986
Wed Dec 08 2021 15:15,BUY,3332.05,3324.1275,3334.0674999999997,0,118.69999999999845
Wed Dec 08 2021 14:30,SELLZERO,3322,3324.5200000000013,3332.7712499999993,-1,3440.6999999999985
Wed Dec 08 2021 11:00,BUY,3315.95,3314.7475,3319.25875,0,124.74999999999864
Wed Dec 08 2021 10:45,SELLZERO,3310.95,3314.22,3319.03375,-1,3435.6999999999985
Wed Dec 08 2021 10:30,BUY,3316.65,3314.2024999999994,3318.9537499999997,0,119.04999999999836
Wed Dec 08 2021 10:15,SELLZERO,3310.35,3313.1174999999994,3318.6225,-1,3429.3999999999983
Wed Dec 08 2021 10:00,BUY,3313.1,3312.0975,3318.25,0,116.29999999999836
Tue Dec 07 2021 15:15,SELLZERO,3286.45,3309.7324999999996,3316.0787499999997,-1,3402.749999999998
Tue Dec 07 2021 12:30,BUY,3305.75,3303.0200000000004,3308.859999999999,0,96.99999999999818
Tue Dec 07 2021 11:30,SELLZERO,3298.6,3301.6025,3307.359999999999,-1,3395.599999999998
Mon Dec 06 2021 13:45,BUY,3280.2,3279.2299999999996,3291.125,0,115.39999999999827
Mon Dec 06 2021 13:30,SELLZERO,3277.5,3277.7574999999997,3290.1637499999997,-1,3392.8999999999983
Mon Dec 06 2021 13:15,BUY,3281.1,3276.015,3289.4175000000005,0,111.79999999999836
Fri Dec 03 2021 15:15,BUYZERO,3287.85,3284.5150000000003,3282.5112500000005,1,-3176.0500000000015
Fri Dec 03 2021 09:45,SELL,3315,3316.0025,3300.8412500000004,0,138.94999999999845
Fri Dec 03 2021 09:15,BUYZERO,3325,3318.5800000000004,3302.513750000001,1,-3186.0500000000015
Wed Dec 01 2021 15:15,SELL,3249.55,3316.0525000000002,3301.44,0,63.499999999998636
Wed Dec 01 2021 13:30,SELLZERO,3229,3292.852500000001,3294.184999999999,-1,3292.4999999999986
Wed Dec 01 2021 11:00,BUY,3257,3252.0649999999996,3284.0337499999996,0,35.499999999998636
Tue Nov 30 2021 15:15,SELLZERO,3240.3,3249.96,3275.4625,-1,3275.799999999999
Tue Nov 30 2021 14:45,BUY,3280.9,3252.4900000000002,3272.6712500000003,0,-5.100000000001273
Tue Nov 30 2021 13:15,BUYZERO,3285,3267.8325,3266.8962500000002,1,-3290.1000000000013
Mon Nov 29 2021 15:15,SELL,3298.2,3298.685,3279.9250000000006,0,8.099999999998545
Mon Nov 29 2021 14:45,BUYZERO,3302.95,3299.7574999999997,3282.9450000000006,1,-3294.8500000000013
Mon Nov 29 2021 14:30,SELL,3299,3300.4574999999995,3284.1450000000004,0,4.149999999998727
Mon Nov 29 2021 13:45,BUYZERO,3308.3,3302.2599999999998,3287.5862499999994,1,-3304.1500000000015
Mon Nov 29 2021 11:15,SELL,3310,3310.6700000000005,3302.9912500000005,0,5.849999999998545
Mon Nov 29 2021 10:00,BUYZERO,3313.25,3308.0225000000005,3303.4912500000005,1,-3307.4000000000015
Mon Nov 29 2021 09:45,SELL,3296.5,3307.7,3303.7287500000007,0,-10.900000000001455
Fri Nov 26 2021 15:15,BUYZERO,3334.6,3308.8875,3305.2,1,-3345.5000000000014
Fri Nov 26 2021 11:00,SELL,3350,3351.1925,3329.44625,0,4.499999999998636
Fri Nov 26 2021 10:15,BUYZERO,3361.55,3357.7200000000003,3333.30375,1,-3357.0500000000015
Tue Nov 23 2021 15:15,SELL,3434.85,3440.2525,3422.75125,0,77.79999999999836
Tue Nov 23 2021 14:45,BUYZERO,3441,3440.4850000000006,3424.8262499999996,1,-3363.2000000000016
Tue Nov 23 2021 14:30,SELL,3438,3440.315,3425.8524999999995,0,74.79999999999836
Tue Nov 23 2021 14:00,BUYZERO,3443,3440.3274999999994,3427.9800000000005,1,-3368.2000000000016
Tue Nov 23 2021 13:00,SELL,3438.05,3440.6349999999998,3432.3625,0,69.84999999999854
Tue Nov 23 2021 11:45,BUYZERO,3443.1,3440.16,3437.2162500000004,1,-3373.2500000000014
Tue Nov 23 2021 11:30,SELL,3435,3439.81,3437.9137500000006,0,61.749999999998636
Tue Nov 23 2021 10:45,SELLZERO,3423.85,3437.5474999999997,3438.5387500000006,-1,3485.5999999999985
Mon Nov 22 2021 15:15,BUY,3444.2,3431.625,3435.9762500000006,0,41.39999999999873
Mon Nov 22 2021 12:30,BUYZERO,3482.9,3441.0275,3440.3424999999997,1,-3441.5000000000014
Thu Nov 18 2021 11:30,SELL,3536.9,3538.5824999999995,3505.1600000000008,0,95.39999999999873
Thu Nov 18 2021 11:15,BUYZERO,3543,3540.5999999999995,3507.6349999999998,1,-3447.6000000000013
Thu Nov 18 2021 10:45,SELL,3539.7,3543.9149999999995,3512.9625000000005,0,92.09999999999854
Thu Nov 18 2021 10:15,BUYZERO,3545.6,3544.4700000000003,3517.7450000000003,1,-3453.5000000000014
Thu Nov 18 2021 10:00,SELL,3543,3544.21,3520.0275,0,89.49999999999864
Thu Nov 18 2021 09:45,BUYZERO,3554.05,3544.2200000000003,3522.4587500000002,1,-3464.5500000000015
Tue Nov 16 2021 14:45,SELL,3606.05,3606.5950000000003,3585.63125,0,141.49999999999864
Tue Nov 16 2021 14:30,BUYZERO,3612.15,3607.2049999999995,3587.2887500000006,1,-3470.6500000000015
Tue Nov 16 2021 12:30,SELL,3619.35,3621.755,3605.3700000000003,0,148.69999999999845
Tue Nov 16 2021 10:00,BUYZERO,3620.95,3618.94,3612.55875,1,-3472.2500000000014
Tue Nov 16 2021 09:45,SELL,3611.6,3619.2175,3612.906250000001,0,139.34999999999854
Mon Nov 15 2021 14:45,SELLZERO,3605,3613.535,3613.9600000000005,-1,3744.3499999999985
Mon Nov 15 2021 11:15,BUY,3600.15,3594.6549999999997,3606.797499999999,0,144.19999999999845
Fri Nov 12 2021 14:45,BUYZERO,3642.15,3607.2,3605.7337499999994,1,-3497.9500000000016
Fri Nov 12 2021 12:30,SELL,3622,3628.5175000000004,3611.5862500000003,0,124.04999999999836
